web-scraper-order,web-scraper-start-url,containers_links,containers_links-href,marque,annee,prix,adresse,proprietaire
"1752626580-1","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Fusion 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134587","Ford Fusion 2013 Dakar","Année: 2013","30 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1752626583-2","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Explorer 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-134586","Ford Explorer 2012 Dakar","Année: 2012","40 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1752626588-3","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Hyundai Elantra 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134581","Hyundai Elantra 2017 Dakar","Année: 2017","35 000 F CFA","Yoff                    
                
                                    
                        Dakar","Abdia Sn"
"1752626593-4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Dodge Journey 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/journey/annonce-134585","Dodge Journey 2012 Dakar","Année: 2012","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626596-5","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Hyundai Elantra 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134584","Hyundai Elantra 2016 Dakar","Année: 2016","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626600-6","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Mazda cx5 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx5/annonce-134579","Mazda cx5 2013 Dakar","Année: 2013","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626604-7","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Chevrolet Equinox 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-134578","Chevrolet Equinox 2012 Dakar","Année: 2012","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626608-8","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Dodge Dart 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/dart/annonce-134577","Dodge Dart 2013 Dakar","Année: 2013","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626612-9","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Citroen C3 2019","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-134576","Citroen C3 2019 Dakar","Année: 2019","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626616-10","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Mazda Cx-5 2013","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx-5/annonce-134575","Mazda Cx-5 2013 Dakar","Année: 2013","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626619-11","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Nissan Juke 2012","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/juke/annonce-134574","Nissan Juke 2012 Dakar","Année: 2012","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1752626622-12","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Fusion 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134580","Ford Fusion 2017 Dakar","Année: 2017","25 000 F CFA","Ouest Foire                    
                
                                    
                        Dakar","Logivit  Express"
"1752626627-13","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Ford Fusion 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134582","Ford Fusion 2017 Dakar","Année: 2017","30 000 F CFA","Point-E                    
                
                                    
                        Dakar","Ousmane diagne"
"1752626631-14","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Hyundai Sonata 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-134593","Hyundai Sonata 2014 Dakar","Année: 2014","25 000 F CFA","Médina                    
                
                                    
                        Dakar","Kena Impact  Groupes"
"1752626634-15","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","Mercedes Sprinter 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/sprinter/annonce-134592","Mercedes Sprinter 2016 Dakar","Année: 2016","15 000 F CFA","Hann Bel-Air                    
                
                                    
                        Dakar","Kena Impact  Groupes"
